round,player_id,paradigm,kills,deaths,peak_mass,food_eaten,action_jerk,circling_index,wall_contacts,latency_ms
25,player_1,Guided Diffusion,0,0,27.57,28,2.8511,0.205,121,1.191
25,player_2,PPO,0,0,52.99,84,0.6276,0.2164,0,0.17
25,player_3,Guided Diffusion,0,0,33.7,43,2.1625,0.174,47,1.181
25,player_4,PPO,1,0,57.88,60,0.4486,0.1945,55,0.168
25,player_5,Guided Diffusion,0,0,26.78,28,2.4491,0.1564,99,1.181
26,player_0,PPO,1,0,57.42,60,0.6923,0.1701,78,0.188
26,player_1,Guided Diffusion,0,0,31.22,39,2.4247,0.1626,149,1.188
26,player_2,PPO,0,0,36.77,53,0.5453,0.2131,18,0.17
26,player_3,Guided Diffusion,0,1,23.46,41,2.3066,0.1427,90,1.178
26,player_4,PPO,0,0,37.84,55,0.3849,0.2192,31,0.166
26,player_5,Guided Diffusion,0,0,38.11,52,2.6434,0.2079,0,1.176
27,player_0,PPO,0,0,40.34,58,0.5989,0.1804,11,0.189
27,player_1,Guided Diffusion,0,2,23.23,27,2.1792,0.1901,0,1.187
27,player_2,PPO,2,0,64.17,54,0.7158,0.2076,4,0.17
27,player_3,Guided Diffusion,0,0,40.9,59,2.0388,0.1447,8,1.176
27,player_4,PPO,0,0,30.79,43,0.453,0.1884,68,0.166
27,player_5,Guided Diffusion,0,0,24.94,27,2.6114,0.1642,33,1.176
28,player_0,PPO,0,0,30.08,41,0.7253,0.2143,37,0.194
28,player_1,Guided Diffusion,1,0,47.33,44,1.8917,0.1896,21,1.196
28,player_2,PPO,1,0,46.04,41,0.4711,0.1671,72,0.171
28,player_3,Guided Diffusion,0,0,36.76,52,2.7608,0.1877,1,1.187
28,player_4,PPO,0,0,44.43,70,0.5277,0.1681,0,0.168
28,player_5,Guided Diffusion,0,1,26.96,40,1.9425,0.1606,23,1.188
29,player_0,PPO,0,1,36.56,68,0.4236,0.1969,49,0.188
29,player_1,Guided Diffusion,0,0,42.07,58,2.4393,0.1476,42,1.189
29,player_2,PPO,2,0,49.65,67,0.7466,0.2251,0,0.17
29,player_3,Guided Diffusion,0,0,35.77,49,2.7609,0.1721,11,1.178
29,player_4,PPO,1,0,62.59,74,0.6968,0.2201,11,0.166
29,player_5,Guided Diffusion,0,0,30.23,37,2.8182,0.2009,1,1.176
30,player_0,PPO,0,0,42.36,62,0.8707,0.2657,1,0.23
30,player_1,Guided Diffusion,0,1,30.4,55,2.1525,0.1724,30,1.273
30,player_2,PPO,0,0,42.07,63,0.6511,0.2174,23,0.185
30,player_3,Guided Diffusion,0,0,34.54,47,2.1497,0.1872,13,1.233
30,player_4,PPO,1,0,71.67,92,0.348,0.1362,81,0.179
30,player_5,Guided Diffusion,0,0,33.69,44,2.6713,0.1654,82,1.222
