condition,decay_multiplier,round,seed,player_id,policy,kills,deaths,kd_ratio,peak_mass,food_eaten,circling_index,splits
+45% Stronger (1.45x),1.45,13,828,player_0,Champion PPO 1,1.0,0.0,1.0,47.82,44.0,1.1839,1.0
+45% Stronger (1.45x),1.45,13,828,player_1,Guided Diffusion 1,0.0,1.0,0.0,22.56,26.0,0.6402,0.0
+45% Stronger (1.45x),1.45,13,828,player_2,Champion PPO 2,2.0,0.0,2.0,62.04,55.0,1.169,2.0
+45% Stronger (1.45x),1.45,13,828,player_3,Guided Diffusion 2,0.0,0.0,0.0,20.66,19.0,0.6243,0.0
+45% Stronger (1.45x),1.45,13,828,player_4,Champion PPO 3,0.0,2.0,0.0,21.45,25.0,1.1852,0.0
+45% Stronger (1.45x),1.45,13,828,player_5,Guided Diffusion 3,0.0,0.0,0.0,27.69,33.0,0.6437,0.0
+45% Stronger (1.45x),1.45,14,847,player_0,Champion PPO 1,2.0,0.0,2.0,63.84,63.0,1.0554,2.0
+45% Stronger (1.45x),1.45,14,847,player_1,Guided Diffusion 1,0.0,0.0,0.0,22.4,22.0,0.5564,0.0
+45% Stronger (1.45x),1.45,14,847,player_2,Champion PPO 2,0.0,2.0,0.0,18.99,18.0,1.3866,0.0
+45% Stronger (1.45x),1.45,14,847,player_3,Guided Diffusion 2,0.0,0.0,0.0,22.43,24.0,0.5014,0.0
+45% Stronger (1.45x),1.45,14,847,player_4,Champion PPO 3,0.0,0.0,0.0,34.1,44.0,1.2521,0.0
+45% Stronger (1.45x),1.45,14,847,player_5,Guided Diffusion 3,0.0,0.0,0.0,25.77,30.0,0.519,0.0
+45% Stronger (1.45x),1.45,15,866,player_0,Champion PPO 1,0.0,0.0,0.0,25.1,28.0,1.569,0.0
+45% Stronger (1.45x),1.45,15,866,player_1,Guided Diffusion 1,0.0,0.0,0.0,20.54,17.0,0.6316,0.0
+45% Stronger (1.45x),1.45,15,866,player_2,Champion PPO 2,0.0,0.0,0.0,21.22,19.0,1.464,0.0
+45% Stronger (1.45x),1.45,15,866,player_3,Guided Diffusion 2,0.0,0.0,0.0,26.67,29.0,0.567,0.0
+45% Stronger (1.45x),1.45,15,866,player_4,Champion PPO 3,0.0,0.0,0.0,21.39,18.0,1.5377,0.0
+45% Stronger (1.45x),1.45,15,866,player_5,Guided Diffusion 3,0.0,0.0,0.0,22.53,23.0,0.5014,0.0
