condition,decay_multiplier,round,seed,player_id,policy,kills,deaths,kd_ratio,peak_mass,food_eaten,circling_index,splits
+25% Stronger (1.25x),1.25,3,638,player_4,Champion PPO 3,0.0,0.0,0.0,20.05,13.0,0.9265,0.0
+25% Stronger (1.25x),1.25,3,638,player_5,Guided Diffusion 3,0.0,0.0,0.0,20.75,17.0,0.6175,0.0
+25% Stronger (1.25x),1.25,4,657,player_0,Champion PPO 1,1.0,0.0,1.0,33.15,27.0,1.3918,0.0
+25% Stronger (1.25x),1.25,4,657,player_1,Guided Diffusion 1,0.0,0.0,0.0,23.37,21.0,0.5989,0.0
+25% Stronger (1.25x),1.25,4,657,player_2,Champion PPO 2,0.0,1.0,0.0,23.76,26.0,1.1513,0.0
+25% Stronger (1.25x),1.25,4,657,player_3,Guided Diffusion 2,0.0,0.0,0.0,26.73,28.0,0.6387,0.0
+25% Stronger (1.25x),1.25,4,657,player_4,Champion PPO 3,1.0,0.0,1.0,48.62,47.0,1.3931,0.0
+25% Stronger (1.25x),1.25,4,657,player_5,Guided Diffusion 3,0.0,0.0,0.0,22.81,19.0,0.7157,0.0
+25% Stronger (1.25x),1.25,5,676,player_0,Champion PPO 1,0.0,1.0,0.0,23.69,20.0,1.3544,0.0
+25% Stronger (1.25x),1.25,5,676,player_1,Guided Diffusion 1,0.0,0.0,0.0,25.74,28.0,0.6708,0.0
+25% Stronger (1.25x),1.25,5,676,player_2,Champion PPO 2,1.0,0.0,1.0,46.83,42.0,1.6271,1.0
+25% Stronger (1.25x),1.25,5,676,player_3,Guided Diffusion 2,0.0,0.0,0.0,23.66,22.0,0.6665,0.0
+25% Stronger (1.25x),1.25,5,676,player_4,Champion PPO 3,0.0,0.0,0.0,20.73,15.0,1.421,0.0
+25% Stronger (1.25x),1.25,5,676,player_5,Guided Diffusion 3,0.0,0.0,0.0,27.0,30.0,0.4744,0.0
+25% Stronger (1.25x),1.25,6,695,player_0,Champion PPO 1,0.0,0.0,0.0,38.8,59.0,1.1253,1.0
